"Variable","AOR","95% CI","P-value","VIF","Model"
"Chicken stocking density",1.0007,"1.0001- 1.0012","0.0125",1.0308,"Europe group 2"
"Shrubland",0,"0.0000-    Inf","0.9918",1,"Europe group 2"
"Grassland",1.617,"0.2689- 9.7233","0.5995",1.0053,"Europe group 2"
"Cropland",2.652,"0.7544- 9.3227","0.1284",1.1023,"Europe group 2"
"Built up",3.4166,"0.3925-29.7432","0.2658",1.0808,"Europe group 2"
"Herbaceous Wetland",0,"0.0000-    Inf","0.9915",1,"Europe group 2"
"H5 HPAI outbreak poultry farm",2.0697,"0.8970- 4.7755","0.0882",1.0223,"Europe group 2"
"PRS",17.9478,"8.6117-37.4054","<0.0001",1.0131,"Europe group 2"
"Chicken stocking density",1.0005," 1.0001- 1.0009","0.0101",1.7566,"Europe group 1"
"Trees",1.9252," 0.6246- 5.9339","0.2541",1.174,"Europe group 1"
"Moss and Lichen",0," 0.0000-    Inf","0.9974",1.798,"Europe group 1"
"Shrubland",0," 0.0000-    Inf","0.9923",1,"Europe group 1"
"Grassland",1.6858," 0.4220- 6.7343","0.4599",1.0212,"Europe group 1"
"Cropland",4.1874," 1.6091-10.8967","0.0033",1.0732,"Europe group 1"
"Built up",1.0218," 0.3091- 3.3782","0.9718",1.0493,"Europe group 1"
"Barren or Sparse Vegetation",0," 0.0000-    Inf","0.9939",1,"Europe group 1"
"Snow and Ice",1.6396," 0.0000-    Inf","0.9999",1.798,"Europe group 1"
"Open Water",2.8251," 0.4595-17.3669","0.2624",1.1142,"Europe group 1"
"Herbaceous Wetland",0," 0.0000-    Inf","0.9891",1,"Europe group 1"
"Duck stocking density",0.993," 0.9837- 1.0024","0.1415",1.8594,"Europe group 1"
"H5 HPAI outbreak poultry farm",2.9028," 1.4928- 5.6445","0.0017",1.0381,"Europe group 1"
"Poultry heterogeneity index",3.7638," 0.3164-44.7743","0.2941",1.491,"Europe group 1"
"PRS",26.6853,"13.1282-54.2425","<0.0001",1.1014,"Europe group 1"
"Chicken stocking density",1.0001,"0.9999-  1.0002","0.2582",1.6206,"Asia group 2"
"Trees",1.1845,"0.2838-  4.9444","0.8163",1.2577,"Asia group 2"
"Moss and Lichen",0,"0.0000-     Inf","0.9962",1.4982,"Asia group 2"
"Shrubland",0,"0.0000-     Inf","0.99",1,"Asia group 2"
"Grassland",0.5535,"0.1811-  1.6915","0.2994",1.1141,"Asia group 2"
"Cropland",0.5864,"0.2658-  1.2939","0.1862",1.2797,"Asia group 2"
"Built up",2.9385,"1.3103-  6.5900","0.0089",1.2664,"Asia group 2"
"Barren or Sparse Vegetation",0.1502,"0.0162-  1.3957","0.0956",1.0891,"Asia group 2"
"Snow and Ice",6.1173,"0.0000-     Inf","0.9997",1.4982,"Asia group 2"
"Open Water",0.2915,"0.0256-  3.3169","0.3204",1.0744,"Asia group 2"
"Herbaceous Wetland",0,"0.0000-     Inf","0.9939",1,"Asia group 2"
"Duck stocking density",0.9999,"0.9979-  1.0018","0.8988",2.1465,"Asia group 2"
"H5 HPAI outbreak poultry farm",4.8439,"2.1358- 10.9856","2e-04",1.1838,"Asia group 2"
"Poultry heterogeneity index",21.4515,"1.2999-353.9979","0.0321",1.9984,"Asia group 2"
"PRS",6.2747,"2.9108- 13.5262","<0.0001",1.1798,"Asia group 2"
"Chicken stocking density",1.0001,"1.0000-  1.0002","0.0045",1.227,"Asia group 1"
"Trees",1.5731,"0.4265-  5.8017","0.4963",1.115,"Asia group 1"
"Grassland",0.5158,"0.1798-  1.4793","0.2181",1.0938,"Asia group 1"
"Cropland",0.6946,"0.3436-  1.4043","0.3103",1.1931,"Asia group 1"
"Built up",5.4392,"2.5559- 11.5752","<0.0001",1.2541,"Asia group 1"
"Barren or Sparse Vegetation",0.0584,"0.0064-  0.5355","0.012",1.0672,"Asia group 1"
"Open Water",0.1484,"0.0154-  1.4290","0.0987",1.0626,"Asia group 1"
"Herbaceous Wetland",0,"0.0000-     Inf","0.9858",1,"Asia group 1"
"H5 HPAI outbreak poultry farm",5.7621,"2.7530- 12.0601","<0.0001",1.0898,"Asia group 1"
"Poultry heterogeneity index",23.8209,"3.7309-152.0904","8e-04",1.245,"Asia group 1"
"PRS",15.4948,"7.5184- 31.9335","<0.0001",1.1408,"Asia group 1"
